planning_area,year,owner,tenant,others
MARINA SOUTH,2015,0.0,0.0,0.0
SINGAPORE RIVER,2015,0.0,0.0,0.0
STRAITS VIEW,2015,0.0,0.0,0.0
SIMPANG,2015,0.0,0.0,0.0
SOUTHERN ISLANDS,2015,0.0,0.0,0.0
TUAS,2015,0.0,0.0,0.0
WESTERN ISLANDS,2015,0.0,0.0,0.0
WESTERN WATER CATCHMENT,2015,0.0,0.0,0.0
YISHUN,2015,59500.0,3100.0,300.0
MUSEUM,2015,0.0,0.0,0.0
NEWTON,2015,0.0,0.0,0.0
CHANGI BAY,2015,0.0,0.0,0.0
CLEMENTI,2015,26900.0,2900.0,200.0
PAYA LEBAR,2015,0.0,0.0,0.0
PUNGGOL,2015,31900.0,1300.0,0.0
QUEENSTOWN,2015,31700.0,3600.0,300.0
SEMBAWANG,2015,22100.0,900.0,100.0
CENTRAL WATER CATCHMENT,2015,0.0,0.0,0.0
RIVER VALLEY,2015,0.0,0.0,0.0
ROCHOR,2015,0.0,0.0,0.0
BEDOK,2020,85033.0,11127.0,1391.0
BUKIT TIMAH,2020,20122.0,3879.0,611.0
BUKIT BATOK,2020,49487.0,4349.0,461.0
BUKIT MERAH,2020,46060.0,13134.0,506.0
CENTRAL WATER CATCHMENT,2020,0.0,0.0,0.0
DOWNTOWN CORE,2020,855.0,620.0,72.0
CHANGI,2020,0.0,0.0,0.0
CHANGI BAY,2020,0.0,0.0,0.0
LIM CHU KANG,2020,0.0,0.0,0.0
BOON LAY,2020,0.0,0.0,0.0
WESTERN WATER CATCHMENT,2020,0.0,0.0,0.0
WOODLANDS,2020,71040.0,7178.0,621.0
MARINE PARADE,2020,13086.0,3615.0,368.0
NEWTON,2020,0.0,0.0,0.0
NORTH-EASTERN ISLANDS,2020,0.0,0.0,0.0
ORCHARD,2020,0.0,0.0,0.0
PASIR RIS,2020,41101.0,3254.0,443.0
PIONEER,2020,0.0,0.0,0.0
PUNGGOL,2020,51926.0,3902.0,338.0
QUEENSTOWN,2020,31270.0,5269.0,514.0
SEMBAWANG,2020,29943.0,2745.0,362.0
SIMPANG,2020,0.0,0.0,0.0
TAMPINES,2020,77953.0,5183.0,546.0
TANGLIN,2020,5432.0,2248.0,258.0
TUAS,2020,0.0,0.0,0.0
WESTERN ISLANDS,2020,0.0,0.0,0.0
SOUTHERN ISLANDS,2020,0.0,0.0,0.0
BUKIT PANJANG,2020,40434.0,2743.0,402.0
BISHAN,2020,25654.0,3410.0,381.0
ANG MO KIO,2020,51897.0,7640.0,683.0
GEYLANG,2020,33761.0,7647.0,652.0
STRAITS VIEW,2020,0.0,0.0,0.0
JURONG EAST,2020,24505.0,2442.0,266.0
HOUGANG,2020,68603.0,5750.0,757.0
JURONG WEST,2020,76331.0,7029.0,519.0
CHOA CHU KANG,2020,53919.0,3700.0,406.0
KALLANG,2020,30671.0,9625.0,537.0
MANDAI,2020,0.0,0.0,0.0
TENGAH,2020,0.0,0.0,0.0
MARINA EAST,2020,0.0,0.0,0.0
MARINA SOUTH,2020,0.0,0.0,0.0
MUSEUM,2020,0.0,0.0,0.0
NOVENA,2020,14811.0,3113.0,356.0
OUTRAM,2020,4718.0,3250.0,84.0
PAYA LEBAR,2020,0.0,0.0,0.0
RIVER VALLEY,2020,2454.0,1303.0,220.0
ROCHOR,2020,0.0,0.0,0.0
SELETAR,2020,0.0,0.0,0.0
SENGKANG,2020,74600.0,4325.0,451.0
SERANGOON,2020,34232.0,3394.0,460.0
CLEMENTI,2020,30042.0,3231.0,336.0
TOA PAYOH,2020,38826.0,7687.0,366.0
SINGAPORE RIVER,2020,0.0,0.0,0.0
SUNGEI KADUT,2020,0.0,0.0,0.0
YISHUN,2020,68814.0,5990.0,599.0
