planning_area,year,bus,mrt,mrt_bus,mrt_car,mrt_other,taxi,car,pvt_chartered_bus,lorry_pickup,motorcycle_scooter,others,no_transport_required,other_combi_mrt_or_bus,mrt_lrt_only,mrt_lrt_and_bus,other_combi_mrt_lrt_or_bus,taxi_pvt_hire_car_only,pvt_chartered_bus_van
SINGAPORE RIVER,2000,,,,,,,,,,,,,,,,,,
SERANGOON,2000,10196.0,117.0,1301.0,38.0,0.0,19.0,4385.0,6315.0,24.0,82.0,1957.0,4619.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTHERN ISLANDS,2000,,,,,,,,,,,,,,,,,,
MARINA SOUTH,2000,,,,,,,,,,,,,,,,,,
SUNGEI KADUT,2000,,,,,,,,,,,,,,,,,,
SELETAR,2000,,,,,,,,,,,,,,,,,,
SIMPANG,2000,,,,,,,,,,,,,,,,,,
TENGAH,2000,,,,,,,,,,,,,,,,,,
TAMPINES,2000,18841.0,1310.0,4907.0,62.0,0.0,129.0,3533.0,8540.0,67.0,237.0,3213.0,21208.0,0.0,0.0,0.0,0.0,0.0,0.0
HOUGANG,2000,19542.0,110.0,1843.0,5.0,0.0,53.0,3976.0,7744.0,72.0,183.0,2312.0,14074.0,0.0,0.0,0.0,0.0,0.0,0.0
JURONG EAST,2000,8131.0,323.0,1478.0,5.0,0.0,38.0,1061.0,2496.0,35.0,53.0,826.0,6515.0,0.0,0.0,0.0,0.0,0.0,0.0
JURONG WEST,2000,16350.0,1098.0,4360.0,34.0,0.0,59.0,1870.0,4755.0,10.0,140.0,1517.0,17846.0,0.0,0.0,0.0,0.0,0.0,0.0
KALLANG,2000,5706.0,308.0,994.0,0.0,0.0,29.0,1114.0,2576.0,14.0,87.0,719.0,4163.0,0.0,0.0,0.0,0.0,0.0,0.0
LIM CHU KANG,2000,,,,,,,,,,,,,,,,,,
MANDAI,2000,,,,,,,,,,,,,,,,,,
MUSEUM,2000,,,,,,,,,,,,,,,,,,
NORTH-EASTERN ISLANDS,2000,,,,,,,,,,,,,,,,,,
MARINA EAST,2000,,,,,,,,,,,,,,,,,,
NOVENA,2000,2338.0,98.0,403.0,23.0,0.0,34.0,1514.0,1685.0,0.0,24.0,520.0,1257.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINE PARADE,2000,2964.0,10.0,430.0,5.0,0.0,5.0,1192.0,1566.0,0.0,14.0,596.0,1155.0,0.0,0.0,0.0,0.0,0.0,0.0
NEWTON,2000,186.0,34.0,24.0,5.0,0.0,7.0,328.0,298.0,0.0,0.0,103.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
STRAITS VIEW,2000,,,,,,,,,,,,,,,,,,
OUTRAM,2000,1036.0,174.0,398.0,0.0,0.0,5.0,120.0,378.0,0.0,0.0,106.0,628.0,0.0,0.0,0.0,0.0,0.0,0.0
SENGKANG,2000,4905.0,19.0,453.0,0.0,0.0,24.0,806.0,1513.0,36.0,38.0,561.0,3359.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCHARD,2000,,,,,,,,,,,,,,,,,,
PUNGGOL,2000,,,,,,,,,,,,,,,,,,
PAYA LEBAR,2000,,,,,,,,,,,,,,,,,,
PASIR RIS,2000,6316.0,558.0,2178.0,29.0,0.0,24.0,2094.0,4307.0,14.0,88.0,1549.0,10942.0,0.0,0.0,0.0,0.0,0.0,0.0
QUEENSTOWN,2000,4849.0,405.0,1215.0,38.0,0.0,43.0,930.0,2141.0,5.0,24.0,659.0,3593.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHOR,2000,1283.0,66.0,217.0,0.0,0.0,0.0,139.0,339.0,0.0,0.0,48.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0
RIVER VALLEY,2000,181.0,55.0,120.0,0.0,0.0,5.0,433.0,357.0,0.0,5.0,123.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
SEMBAWANG,2000,981.0,753.0,844.0,43.0,0.0,0.0,350.0,403.0,5.0,14.0,154.0,2143.0,0.0,0.0,0.0,0.0,0.0,0.0
TANGLIN,2000,368.0,19.0,62.0,0.0,0.0,18.0,988.0,630.0,0.0,5.0,219.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0
TOA PAYOH,2000,7048.0,536.0,1496.0,29.0,0.0,45.0,1631.0,3101.0,5.0,79.0,899.0,5861.0,0.0,0.0,0.0,0.0,0.0,0.0
TUAS,2000,,,,,,,,,,,,,,,,,,
YISHUN,2000,9682.0,3380.0,4908.0,50.0,0.0,53.0,1753.0,3932.0,57.0,146.0,1162.0,18603.0,0.0,0.0,0.0,0.0,0.0,0.0
YISHUN,2010,7942.0,3904.0,6790.0,97.0,100.0,70.0,2718.0,2235.0,99.0,227.0,1557.0,12701.0,0.0,0.0,0.0,0.0,0.0,0.0
SENGKANG,2010,7730.0,1794.0,3389.0,25.0,370.0,75.0,3356.0,3730.0,122.0,94.0,3906.0,11974.0,0.0,0.0,0.0,0.0,0.0,0.0
SELETAR,2010,,,,,,,,,,,,,,,,,,
SIMPANG,2010,,,,,,,,,,,,,,,,,,
HOUGANG,2010,16115.0,1820.0,6361.0,126.0,101.0,175.0,5449.0,4051.0,182.0,176.0,2175.0,11250.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTHERN ISLANDS,2010,,,,,,,,,,,,,,,,,,
CHANGI,2010,193.0,12.0,31.0,0.0,0.0,25.0,123.0,94.0,0.0,25.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTERN WATER CATCHMENT,2010,,,,,,,,,,,,,,,,,,
SEMBAWANG,2010,1874.0,2368.0,2596.0,52.0,25.0,38.0,1423.0,998.0,25.0,44.0,574.0,6289.0,0.0,0.0,0.0,0.0,0.0,0.0
LIM CHU KANG,2010,,,,,,,,,,,,,,,,,,
NORTH-EASTERN ISLANDS,2010,,,,,,,,,,,,,,,,,,
JURONG EAST,2010,6163.0,899.0,2364.0,43.0,12.0,19.0,1447.0,2010.0,31.0,91.0,886.0,3694.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTERN ISLANDS,2010,,,,,,,,,,,,,,,,,,
PASIR RIS,2010,10020.0,1298.0,6039.0,113.0,43.0,83.0,4696.0,2626.0,12.0,113.0,1746.0,11212.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNGGOL,2010,2034.0,457.0,886.0,21.0,155.0,19.0,1680.0,1093.0,75.0,44.0,933.0,4317.0,0.0,0.0,0.0,0.0,0.0,0.0
MANDAI,2010,99.0,0.0,81.0,6.0,0.0,0.0,68.0,25.0,0.0,0.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
TENGAH,2010,,,,,,,,,,,,,,,,,,
SERANGOON,2010,6831.0,1512.0,4322.0,99.0,78.0,51.0,5148.0,2717.0,64.0,108.0,1610.0,3931.0,0.0,0.0,0.0,0.0,0.0,0.0
BEDOK,2010,16868.0,2085.0,7934.0,235.0,60.0,148.0,8162.0,6387.0,158.0,334.0,3354.0,11696.0,0.0,0.0,0.0,0.0,0.0,0.0
PIONEER,2010,,,,,,,,,,,,,,,,,,
WOODLANDS,2010,13242.0,5387.0,9887.0,149.0,75.0,138.0,3782.0,3996.0,274.0,304.0,2029.0,22646.0,0.0,0.0,0.0,0.0,0.0,0.0
JURONG WEST,2010,15293.0,3484.0,9353.0,84.0,58.0,97.0,4207.0,5713.0,160.0,294.0,2315.0,18619.0,0.0,0.0,0.0,0.0,0.0,0.0
TAMPINES,2010,17597.0,2849.0,8604.0,98.0,97.0,162.0,5166.0,5732.0,173.0,435.0,3219.0,16423.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINE PARADE,2010,2438.0,19.0,826.0,78.0,0.0,19.0,1716.0,1213.0,8.0,13.0,491.0,1624.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYA LEBAR,2010,,,,,,,,,,,,,,,,,,
QUEENSTOWN,2010,4713.0,927.0,2255.0,58.0,13.0,39.0,2070.0,1678.0,50.0,44.0,898.0,3194.0,0.0,0.0,0.0,0.0,0.0,0.0
ANG MO KIO,2010,8837.0,1541.0,4012.0,103.0,25.0,97.0,4029.0,2729.0,131.0,104.0,1367.0,7803.0,0.0,0.0,0.0,0.0,0.0,0.0
SINGAPORE RIVER,2010,44.0,0.0,29.0,0.0,0.0,0.0,36.0,50.0,0.0,0.0,14.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
CHOA CHU KANG,2010,8008.0,4296.0,8129.0,132.0,504.0,31.0,3399.0,3301.0,161.0,222.0,3233.0,15121.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNGEI KADUT,2010,,,,,,,,,,,,,,,,,,
BUKIT PANJANG,2010,8351.0,19.0,1690.0,20.0,1091.0,56.0,3236.0,2719.0,75.0,153.0,4435.0,9490.0,0.0,0.0,0.0,0.0,0.0,0.0
KALLANG,2010,4242.0,1492.0,2223.0,58.0,26.0,50.0,2000.0,2027.0,76.0,62.0,575.0,2678.0,0.0,0.0,0.0,0.0,0.0,0.0
BOON LAY,2010,,,,,,,,,,,,,,,,,,
BUKIT MERAH,2010,7759.0,1527.0,3705.0,31.0,54.0,37.0,1770.0,2640.0,45.0,69.0,814.0,4402.0,0.0,0.0,0.0,0.0,0.0,0.0
DOWNTOWN CORE,2010,114.0,31.0,89.0,0.0,0.0,0.0,50.0,67.0,0.0,0.0,14.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINA SOUTH,2010,,,,,,,,,,,,,,,,,,
STRAITS VIEW,2010,,,,,,,,,,,,,,,,,,
MARINA EAST,2010,,,,,,,,,,,,,,,,,,
TANGLIN,2010,453.0,0.0,118.0,12.0,0.0,19.0,1176.0,546.0,0.0,0.0,215.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0
NOVENA,2010,2354.0,225.0,1053.0,43.0,0.0,14.0,1661.0,1246.0,26.0,6.0,497.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT BATOK,2010,9225.0,1945.0,4397.0,86.0,98.0,33.0,4083.0,3415.0,50.0,157.0,1830.0,7831.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEMENTI,2010,4813.0,588.0,1715.0,19.0,29.0,33.0,2077.0,2078.0,43.0,76.0,833.0,3195.0,0.0,0.0,0.0,0.0,0.0,0.0
TUAS,2010,,,,,,,,,,,,,,,,,,
BISHAN,2010,5917.0,1175.0,3251.0,65.0,51.0,76.0,3341.0,2461.0,37.0,82.0,1174.0,3154.0,0.0,0.0,0.0,0.0,0.0,0.0
TOA PAYOH,2010,6296.0,1551.0,3583.0,50.0,43.0,37.0,2243.0,1996.0,63.0,115.0,960.0,5090.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTRAL WATER CATCHMENT,2010,,,,,,,,,,,,,,,,,,
CHANGI BAY,2010,,,,,,,,,,,,,,,,,,
BUKIT TIMAH,2010,3670.0,0.0,828.0,69.0,0.0,91.0,5427.0,2116.0,20.0,6.0,1327.0,1967.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCHARD,2010,,,,,,,,,,,,,,,,,,
MUSEUM,2010,,,,,,,,,,,,,,,,,,
RIVER VALLEY,2010,244.0,6.0,139.0,25.0,0.0,6.0,454.0,399.0,0.0,0.0,84.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHOR,2010,743.0,221.0,323.0,7.0,8.0,6.0,101.0,176.0,19.0,31.0,95.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0
OUTRAM,2010,546.0,377.0,418.0,0.0,0.0,0.0,112.0,152.0,0.0,12.0,26.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0
GEYLANG,2010,6341.0,1599.0,3384.0,37.0,25.0,41.0,2316.0,2042.0,80.0,145.0,926.0,4457.0,0.0,0.0,0.0,0.0,0.0,0.0
NEWTON,2010,102.0,35.0,75.0,0.0,0.0,0.0,425.0,274.0,0.0,0.0,39.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINE PARADE,2015,1600.0,0.0,1300.0,0.0,0.0,0.0,1600.0,1100.0,0.0,0.0,0.0,1400.0,200.0,0.0,0.0,0.0,0.0,0.0
NORTH-EASTERN ISLANDS,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIONEER,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JURONG WEST,2015,15800.0,3200.0,12800.0,0.0,0.0,0.0,3300.0,4000.0,0.0,0.0,900.0,17500.0,2900.0,0.0,0.0,0.0,0.0,0.0
KALLANG,2015,3200.0,1600.0,3600.0,0.0,0.0,0.0,1900.0,1900.0,0.0,0.0,200.0,2500.0,200.0,0.0,0.0,0.0,0.0,0.0
NOVENA,2015,2000.0,400.0,1200.0,0.0,0.0,0.0,1800.0,1000.0,0.0,0.0,0.0,1000.0,400.0,0.0,0.0,0.0,0.0,0.0
PASIR RIS,2015,8600.0,1400.0,9200.0,0.0,0.0,0.0,3700.0,2300.0,0.0,0.0,600.0,8400.0,900.0,0.0,0.0,0.0,0.0,0.0
HOUGANG,2015,11800.0,2200.0,9800.0,0.0,0.0,0.0,4900.0,3200.0,0.0,0.0,200.0,9300.0,2100.0,0.0,0.0,0.0,0.0,0.0
JURONG EAST,2015,4100.0,500.0,3000.0,0.0,0.0,0.0,1000.0,1700.0,0.0,0.0,0.0,3300.0,1100.0,0.0,0.0,0.0,0.0,0.0
LIM CHU KANG,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MANDAI,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT PANJANG,2015,8700.0,900.0,2900.0,0.0,0.0,0.0,3200.0,1800.0,0.0,0.0,1300.0,8200.0,3900.0,0.0,0.0,0.0,0.0,0.0
BUKIT TIMAH,2015,2500.0,200.0,1800.0,0.0,0.0,0.0,5400.0,2500.0,0.0,0.0,0.0,1600.0,1300.0,0.0,0.0,0.0,0.0,0.0
ANG MO KIO,2015,8500.0,1800.0,5200.0,0.0,0.0,0.0,3300.0,2400.0,0.0,0.0,300.0,9200.0,1100.0,0.0,0.0,0.0,0.0,0.0
BEDOK,2015,15800.0,2900.0,9700.0,0.0,0.0,0.0,7500.0,5500.0,0.0,0.0,800.0,10400.0,1600.0,0.0,0.0,0.0,0.0,0.0
BISHAN,2015,2400.0,1400.0,4700.0,0.0,0.0,0.0,2900.0,3000.0,0.0,0.0,0.0,2300.0,600.0,0.0,0.0,0.0,0.0,0.0
BOON LAY,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT BATOK,2015,7000.0,2500.0,6300.0,0.0,0.0,0.0,2500.0,2400.0,0.0,0.0,500.0,6600.0,1200.0,0.0,0.0,0.0,0.0,0.0
BUKIT MERAH,2015,6400.0,1200.0,5500.0,0.0,0.0,0.0,2900.0,2300.0,0.0,0.0,100.0,4200.0,900.0,0.0,0.0,0.0,0.0,0.0
CHOA CHU KANG,2015,6400.0,4200.0,11600.0,0.0,0.0,0.0,2200.0,3000.0,0.0,0.0,400.0,10900.0,2800.0,0.0,0.0,0.0,0.0,0.0
TANGLIN,2015,300.0,0.0,200.0,0.0,0.0,0.0,1200.0,900.0,0.0,0.0,200.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
GEYLANG,2015,4600.0,1200.0,4500.0,0.0,0.0,0.0,1300.0,2200.0,0.0,0.0,100.0,3700.0,600.0,0.0,0.0,0.0,0.0,0.0
CHANGI,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELETAR,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENGKANG,2015,11300.0,2500.0,6100.0,0.0,0.0,0.0,5400.0,3100.0,0.0,0.0,1400.0,15100.0,4700.0,0.0,0.0,0.0,0.0,0.0
SERANGOON,2015,4500.0,1900.0,5900.0,0.0,0.0,0.0,4100.0,1700.0,0.0,0.0,200.0,3100.0,800.0,0.0,0.0,0.0,0.0,0.0
DOWNTOWN CORE,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNGEI KADUT,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAMPINES,2015,15100.0,2800.0,11700.0,0.0,0.0,0.0,4400.0,4000.0,0.0,0.0,1400.0,11700.0,1100.0,0.0,0.0,0.0,0.0,0.0
ORCHARD,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OUTRAM,2015,500.0,500.0,200.0,0.0,0.0,0.0,100.0,300.0,0.0,0.0,0.0,900.0,100.0,0.0,0.0,0.0,0.0,0.0
TENGAH,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOA PAYOH,2015,5000.0,1200.0,5200.0,0.0,0.0,0.0,2400.0,1700.0,0.0,0.0,100.0,4100.0,900.0,0.0,0.0,0.0,0.0,0.0
MARINA EAST,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOODLANDS,2015,11900.0,4600.0,13800.0,0.0,0.0,0.0,3500.0,2900.0,0.0,0.0,700.0,18000.0,800.0,0.0,0.0,0.0,0.0,0.0
MARINA SOUTH,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SINGAPORE RIVER,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRAITS VIEW,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIMPANG,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTHERN ISLANDS,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUAS,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTERN ISLANDS,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTERN WATER CATCHMENT,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YISHUN,2015,6800.0,3300.0,8900.0,0.0,0.0,0.0,2900.0,2000.0,0.0,0.0,600.0,11400.0,600.0,0.0,0.0,0.0,0.0,0.0
MUSEUM,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEWTON,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHANGI BAY,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEMENTI,2015,4000.0,700.0,1700.0,0.0,0.0,0.0,2000.0,2300.0,0.0,0.0,100.0,2300.0,500.0,0.0,0.0,0.0,0.0,0.0
PAYA LEBAR,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNGGOL,2015,3200.0,900.0,2500.0,0.0,0.0,0.0,2400.0,1500.0,0.0,0.0,300.0,6900.0,1900.0,0.0,0.0,0.0,0.0,0.0
QUEENSTOWN,2015,3700.0,1600.0,3200.0,0.0,0.0,0.0,1600.0,1400.0,0.0,0.0,100.0,2400.0,500.0,0.0,0.0,0.0,0.0,0.0
SEMBAWANG,2015,1800.0,2400.0,4500.0,0.0,0.0,0.0,1700.0,1100.0,0.0,0.0,100.0,6000.0,200.0,0.0,0.0,0.0,0.0,0.0
CENTRAL WATER CATCHMENT,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIVER VALLEY,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHOR,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEDOK,2020,9837.0,0.0,0.0,0.0,0.0,0.0,8128.0,0.0,0.0,63.0,596.0,8299.0,0.0,2484.0,9419.0,791.0,434.0,3615.0
BUKIT TIMAH,2020,2547.0,0.0,0.0,0.0,0.0,0.0,5697.0,0.0,0.0,7.0,141.0,2672.0,0.0,998.0,2383.0,155.0,227.0,1872.0
BUKIT BATOK,2020,7312.0,0.0,0.0,0.0,0.0,0.0,3444.0,0.0,120.0,100.0,93.0,5566.0,0.0,1891.0,6463.0,341.0,141.0,1800.0
BUKIT MERAH,2020,5321.0,0.0,0.0,0.0,0.0,0.0,2867.0,0.0,0.0,80.0,56.0,4303.0,0.0,1765.0,4885.0,306.0,213.0,2221.0
CENTRAL WATER CATCHMENT,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOWNTOWN CORE,2020,33.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,0.0,0.0,39.0,0.0,52.0,54.0,0.0,0.0,16.0
CHANGI,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHANGI BAY,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIM CHU KANG,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOON LAY,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTERN WATER CATCHMENT,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOODLANDS,2020,9383.0,0.0,0.0,0.0,0.0,0.0,3428.0,0.0,99.0,255.0,305.0,14819.0,0.0,4143.0,14689.0,778.0,309.0,1457.0
MARINE PARADE,2020,1940.0,0.0,0.0,0.0,0.0,0.0,1937.0,0.0,4.0,0.0,76.0,1701.0,0.0,229.0,1159.0,68.0,117.0,927.0
NEWTON,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH-EASTERN ISLANDS,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCHARD,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PASIR RIS,2020,6691.0,0.0,0.0,0.0,0.0,0.0,4399.0,0.0,10.0,166.0,220.0,5830.0,0.0,1157.0,8418.0,438.0,170.0,1569.0
PIONEER,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNGGOL,2020,6066.0,0.0,0.0,0.0,0.0,0.0,4992.0,0.0,85.0,136.0,259.0,12879.0,0.0,2521.0,4844.0,3502.0,165.0,1623.0
QUEENSTOWN,2020,3338.0,0.0,0.0,0.0,0.0,0.0,2091.0,0.0,9.0,9.0,140.0,3104.0,0.0,1351.0,2789.0,121.0,119.0,1161.0
