planning_area,year,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,condominiums_and_other_apartments,landed_properties,others
TANGLIN,2010,0.0,24.0,62.0,71.0,4498.0,840.0,92.0
NOVENA,2010,746.0,3167.0,2163.0,1523.0,5343.0,2099.0,166.0
BUKIT BATOK,2010,27.0,10970.0,15245.0,8172.0,8447.0,1164.0,108.0
CLEMENTI,2010,952.0,12609.0,8070.0,3272.0,4047.0,1673.0,169.0
TUAS,2010,,,,,,,
BISHAN,2010,444.0,2371.0,9920.0,7510.0,3570.0,3162.0,53.0
TOA PAYOH,2010,5204.0,16377.0,9931.0,6598.0,1608.0,1756.0,285.0
CENTRAL WATER CATCHMENT,2010,,,,,,,
CHANGI BAY,2010,,,,,,,
BUKIT TIMAH,2010,0.0,413.0,835.0,1046.0,10163.0,8081.0,120.0
ORCHARD,2010,,,,,,,
MUSEUM,2010,,,,,,,
RIVER VALLEY,2010,0.0,0.0,0.0,0.0,2536.0,198.0,13.0
ROCHOR,2010,335.0,1983.0,1606.0,214.0,816.0,84.0,218.0
OUTRAM,2010,3391.0,2301.0,550.0,73.0,986.0,0.0,67.0
GEYLANG,2010,4313.0,12470.0,9608.0,4756.0,6038.0,2135.0,577.0
NEWTON,2010,0.0,0.0,0.0,0.0,1991.0,176.0,7.0
MARINE PARADE,2015,1400.0,2800.0,1700.0,1300.0,5900.0,2000.0,100.0
NORTH-EASTERN ISLANDS,2015,,,,,,,
PIONEER,2015,,,,,,,
JURONG WEST,2015,2900.0,12500.0,31100.0,29200.0,4900.0,1000.0,0.0
KALLANG,2015,5700.0,9900.0,8000.0,4500.0,7800.0,200.0,400.0
NOVENA,2015,900.0,2800.0,2200.0,1100.0,6900.0,1800.0,100.0
PASIR RIS,2015,700.0,100.0,12200.0,18200.0,7700.0,1600.0,100.0
HOUGANG,2015,1500.0,9600.0,25300.0,14000.0,7700.0,6100.0,100.0
JURONG EAST,2015,1000.0,6200.0,8000.0,7600.0,2500.0,0.0,100.0
LIM CHU KANG,2015,,,,,,,
MANDAI,2015,,,,,,,
BUKIT PANJANG,2015,900.0,3500.0,15600.0,14300.0,5600.0,1300.0,0.0
BUKIT TIMAH,2015,0.0,500.0,900.0,900.0,11900.0,9400.0,300.0
ANG MO KIO,2015,5600.0,25500.0,14800.0,6500.0,5000.0,4900.0,300.0
BEDOK,2015,4000.0,21800.0,21000.0,13600.0,19300.0,12300.0,300.0
BISHAN,2015,500.0,2000.0,9800.0,7300.0,4900.0,3200.0,100.0
BOON LAY,2015,,,,,,,
BUKIT BATOK,2015,700.0,9800.0,15000.0,8000.0,8900.0,1500.0,200.0
BUKIT MERAH,2015,12000.0,15900.0,14300.0,9100.0,3600.0,100.0,200.0
CHOA CHU KANG,2015,1600.0,1600.0,21000.0,19200.0,5000.0,900.0,100.0
TANGLIN,2015,0.0,0.0,0.0,100.0,6200.0,600.0,0.0
GEYLANG,2015,4500.0,10500.0,9800.0,4600.0,6300.0,1300.0,400.0
CHANGI,2015,,,,,,,
SELETAR,2015,,,,,,,
SENGKANG,2015,1800.0,2200.0,28000.0,27500.0,4500.0,500.0,0.0
SERANGOON,2015,300.0,4700.0,10600.0,6700.0,5300.0,11000.0,300.0
DOWNTOWN CORE,2015,,,,,,,
SUNGEI KADUT,2015,,,,,,,
TAMPINES,2015,2500.0,13600.0,29400.0,23700.0,9000.0,1300.0,200.0
ORCHARD,2015,,,,,,,
OUTRAM,2015,2500.0,2600.0,1700.0,900.0,800.0,0.0,0.0
TENGAH,2015,,,,,,,
TOA PAYOH,2015,4900.0,15200.0,10000.0,6800.0,3100.0,1800.0,500.0
MARINA EAST,2015,,,,,,,
WOODLANDS,2015,3200.0,6900.0,29900.0,27000.0,3400.0,100.0,0.0
MARINA SOUTH,2015,,,,,,,
SINGAPORE RIVER,2015,,,,,,,
STRAITS VIEW,2015,,,,,,,
SIMPANG,2015,,,,,,,
SOUTHERN ISLANDS,2015,,,,,,,
TUAS,2015,,,,,,,
WESTERN ISLANDS,2015,,,,,,,
WESTERN WATER CATCHMENT,2015,,,,,,,
YISHUN,2015,2200.0,13700.0,29800.0,11900.0,3800.0,1400.0,200.0
MUSEUM,2015,,,,,,,
NEWTON,2015,,,,,,,
CHANGI BAY,2015,,,,,,,
CLEMENTI,2015,1200.0,10500.0,8500.0,3000.0,5100.0,1600.0,200.0
PAYA LEBAR,2015,,,,,,,
PUNGGOL,2015,1800.0,1900.0,14700.0,13400.0,1400.0,0.0,0.0
QUEENSTOWN,2015,3600.0,14400.0,7900.0,4000.0,4500.0,1100.0,100.0
SEMBAWANG,2015,500.0,300.0,9300.0,10900.0,1000.0,1100.0,0.0
CENTRAL WATER CATCHMENT,2015,,,,,,,
RIVER VALLEY,2015,,,,,,,
ROCHOR,2015,,,,,,,
BEDOK,2020,5391.0,22903.0,22045.0,14226.0,20922.0,11545.0,519.0
BUKIT TIMAH,2020,147.0,469.0,850.0,1027.0,12827.0,9163.0,129.0
BUKIT BATOK,2020,3335.0,11517.0,18425.0,10109.0,9338.0,1466.0,106.0
BUKIT MERAH,2020,10995.0,15708.0,17382.0,9790.0,5429.0,190.0,207.0
CENTRAL WATER CATCHMENT,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOWNTOWN CORE,2020,0.0,0.0,229.0,0.0,1282.0,0.0,36.0
CHANGI,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHANGI BAY,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIM CHU KANG,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOON LAY,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTERN WATER CATCHMENT,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOODLANDS,2020,5299.0,7367.0,31978.0,28321.0,5592.0,214.0,68.0
MARINE PARADE,2020,1387.0,2946.0,1826.0,1833.0,6334.0,2603.0,139.0
NEWTON,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH-EASTERN ISLANDS,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORCHARD,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PASIR RIS,2020,734.0,356.0,11809.0,17180.0,12814.0,1905.0,0.0
PIONEER,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNGGOL,2020,4364.0,5404.0,22277.0,16990.0,7061.0,69.0,0.0
QUEENSTOWN,2020,3814.0,13661.0,9424.0,4360.0,4676.0,1032.0,86.0
SEMBAWANG,2020,3516.0,1507.0,11908.0,11653.0,3509.0,943.0,13.0
SIMPANG,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAMPINES,2020,3215.0,14313.0,31182.0,24136.0,9543.0,1211.0,81.0
TANGLIN,2020,0.0,21.0,79.0,86.0,6493.0,1234.0,25.0
TUAS,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTERN ISLANDS,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTHERN ISLANDS,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT PANJANG,2020,1234.0,3638.0,17144.0,14104.0,6643.0,817.0,0.0
BISHAN,2020,605.0,2334.0,9882.0,7727.0,5786.0,3040.0,72.0
ANG MO KIO,2020,5002.0,24087.0,14894.0,6664.0,4815.0,4433.0,325.0
GEYLANG,2020,4174.0,11708.0,10424.0,4665.0,8880.0,1864.0,344.0
STRAITS VIEW,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JURONG EAST,2020,1090.0,7162.0,8455.0,7942.0,2477.0,0.0,86.0
HOUGANG,2020,3132.0,10958.0,27963.0,15926.0,10899.0,6073.0,158.0
JURONG WEST,2020,3700.0,12815.0,31404.0,29247.0,5632.0,1019.0,61.0
CHOA CHU KANG,2020,2088.0,2487.0,24202.0,21241.0,7395.0,606.0,5.0
KALLANG,2020,6907.0,10940.0,9674.0,4736.0,7709.0,509.0,357.0
MANDAI,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TENGAH,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINA EAST,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARINA SOUTH,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSEUM,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOVENA,2020,768.0,3342.0,2822.0,1438.0,7641.0,2193.0,76.0
OUTRAM,2020,2889.0,2356.0,1735.0,625.0,420.0,0.0,27.0
PAYA LEBAR,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIVER VALLEY,2020,0.0,0.0,0.0,0.0,3721.0,252.0,3.0
ROCHOR,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELETAR,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SENGKANG,2020,3950.0,4043.0,31507.0,28680.0,10823.0,372.0,0.0
SERANGOON,2020,664.0,4376.0,10514.0,6531.0,6178.0,9745.0,78.0
CLEMENTI,2020,1117.0,11461.0,9298.0,3943.0,5988.0,1614.0,186.0
TOA PAYOH,2020,4793.0,16019.0,11368.0,7092.0,5440.0,1771.0,397.0
SINGAPORE RIVER,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUNGEI KADUT,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YISHUN,2020,4119.0,16531.0,32083.0,14040.0,6902.0,1496.0,232.0
